credit_card_number,ipv4           ,state
30213196611688    ,192.168.216.212,AZ
5393825843017645  ,192.168.211.229,OK
580022764071      ,172.27.166.188 ,FL
30334856785990    ,10.15.215.220  ,SD
5383983915126000  ,192.168.30.242 ,ID
630493385482      ,192.168.254.189,PA
675970085006      ,172.27.222.230 ,MT
564628606225      ,192.168.161.151,TN
676196417775      ,172.16.66.243  ,AK
30336990284137    ,172.22.176.192 ,FL
572511628172      ,10.41.223.214  ,DE
30260595864491    ,172.31.106.218 ,PA
581884469239      ,192.168.95.102 ,NJ
630470070313      ,192.168.178.224,MO
676312098608      ,10.244.106.156 ,PA
60428425882       ,172.21.174.195 ,AL
30298418359463    ,192.168.178.162,WY
5399667463925606  ,10.62.23.83    ,SD
675992195288      ,172.29.226.82  ,NC
5329356153245476  ,10.84.210.221  ,DE
563864084600      ,10.67.39.7     ,DE
676355361285      ,10.150.249.36  ,WI
630403657582      ,172.30.112.193 ,NY
639006314020      ,10.178.80.48   ,IN
630495675427      ,10.107.221.91  ,OK
5381228505762315  ,10.170.146.78  ,DC
675997979405      ,192.168.92.225 ,DC
30229202510680    ,172.28.253.64  ,KY
676127812029      ,192.168.43.108 ,MI
5344065094665129  ,10.168.204.243 ,LA
676270158220      ,192.168.9.212  ,NY
30291275359817    ,10.24.73.105   ,NJ
30230109449337    ,192.168.40.170 ,ME
561766029517      ,10.231.150.55  ,MN
585574949327      ,172.19.63.97   ,SC
639031771160      ,192.168.81.192 ,WY
676281887627      ,10.202.245.79  ,DE
2226930752443756  ,172.22.159.142 ,NH
60460764362       ,10.81.241.222  ,ME
561189970263      ,172.22.27.5    ,MA
571789782182      ,10.31.35.224   ,PA
30356839314887    ,172.23.102.10  ,MA
5363523930285359  ,192.168.242.139,VA
676223124220      ,10.59.28.2     ,NM
639001239610      ,192.168.27.52  ,WV
639038282500      ,172.25.113.134 ,MA
676114724229      ,192.168.147.32 ,IA
577715595226      ,172.24.171.103 ,MT
2223153402032027  ,172.25.134.195 ,ID
569799055516      ,10.47.84.48    ,WA
30223567306271    ,172.27.113.68  ,OK
630428703916      ,192.168.147.89 ,AZ
2225479252312740  ,10.110.232.79  ,OR
2228726722015973  ,10.107.89.87   ,AL
5349766478500593  ,172.21.206.37  ,MD
30279616674101    ,10.228.87.254  ,ND
581306498121      ,10.103.1.188   ,KY
60489468839       ,192.168.160.197,ME
675976658707      ,172.31.50.72   ,CT
676133076528      ,192.168.235.55 ,MS
675976370642      ,192.168.81.44  ,UT
30318145255824    ,10.200.207.15  ,CO
30263188423949    ,10.31.102.65   ,NM
581842775909      ,10.179.153.70  ,GA
675949904832      ,10.247.120.2   ,GA
639000936968      ,10.150.222.23  ,DE
2228451595810083  ,172.28.108.116 ,NJ
5305338070083683  ,172.18.71.130  ,NJ
568422150579      ,172.17.92.50   ,ID
676313616820      ,172.16.49.72   ,CO
2223530494884318  ,10.41.124.16   ,ME
30357014985442    ,10.94.53.174   ,SC
639034409537      ,172.27.152.22  ,TN
675985804565      ,172.24.168.32  ,VA
639069966070      ,192.168.100.209,NV
630401016054      ,172.19.98.71   ,OH
676129011877      ,192.168.59.92  ,KY
60442143784       ,172.18.175.235 ,MS
30352948584387    ,10.246.147.228 ,TN
639071814565      ,172.25.163.79  ,CA
676338606079      ,172.20.43.34   ,AL
676354913524      ,10.93.215.204  ,WI
2222101960103418  ,172.21.187.245 ,KY
563376704703      ,10.192.193.167 ,ND
676184015193      ,172.23.202.86  ,MD
676330237691      ,192.168.25.109 ,NV
30218474471952    ,192.168.119.16 ,WA
589204542528      ,10.118.206.153 ,ME
630490982778      ,192.168.101.174,NH
630499982662      ,172.23.146.68  ,ND
676267951207      ,172.16.167.125 ,MD
630489606743      ,10.99.226.255  ,MD
2222422935198907  ,10.245.65.142  ,CA
676385609216      ,10.248.245.238 ,NY
630475089094      ,10.98.21.65    ,SD
579177723817      ,172.22.150.101 ,NC
60476283431       ,10.211.197.84  ,UT
569658283175      ,172.28.179.120 ,OR
676204913492      ,172.17.76.187  ,MA
2224074927757709  ,10.61.176.162  ,WI
630432015059      ,172.30.133.6   ,VA
676102344378      ,10.12.86.233   ,HI
675983095026      ,172.20.135.174 ,MI
2225093718830797  ,10.61.77.211   ,GA
676148756932      ,172.25.114.171 ,MD
630427029594      ,172.28.238.139 ,MN
30226356081971    ,192.168.39.181 ,UT
5325062620604154  ,172.16.175.234 ,TN
639063153527      ,10.186.221.3   ,WY
30265733138575    ,10.148.145.113 ,AR
675910274058      ,192.168.148.195,MD
30237839295872    ,10.40.107.141  ,WA
5357614274094321  ,172.28.39.36   ,VA
639062046193      ,10.226.218.5   ,MS
5375474036794538  ,10.104.11.231  ,KY
676253802653      ,10.34.45.169   ,UT
676384934078      ,172.29.80.14   ,HI
5365238721870958  ,10.236.11.110  ,NV
60400417873       ,192.168.32.221 ,IN
30355190170938    ,10.242.103.156 ,OR
2222479513110126  ,10.34.51.6     ,WV
574541478321      ,192.168.14.121 ,MI
2229678644640041  ,10.137.213.31  ,MD
30275474396845    ,10.230.58.172  ,CA
676374508965      ,10.252.45.18   ,TX
30326750062633    ,10.242.52.37   ,AK
2226233730526978  ,192.168.182.42 ,CT
2223852199355810  ,10.183.207.95  ,DC
676241363586      ,172.20.73.61   ,SD
587817475649      ,192.168.130.108,NH
30357656244496    ,192.168.148.26 ,IA
676228365992      ,172.29.17.168  ,SC
2221767919160930  ,10.100.171.202 ,SD
589509813970      ,10.107.170.129 ,WY
630479897237      ,192.168.82.187 ,NE
2226167293420023  ,192.168.32.107 ,WY
5395457905750927  ,10.33.128.115  ,FL
676248582154      ,10.83.11.247   ,NM
30363497118642    ,192.168.41.249 ,PA
675984991421      ,172.27.239.38  ,WI
2221558602936276  ,10.116.119.173 ,MT
639079388737      ,172.21.61.175  ,NY
574576694271      ,10.219.33.62   ,MD
639043643803      ,192.168.118.183,NC
675957749228      ,172.30.21.106  ,IN
639035775555      ,172.21.116.180 ,AZ
586174573731      ,192.168.28.3   ,RI
676288391334      ,192.168.51.176 ,LA
30201312738170    ,172.19.134.194 ,ME
639025533808      ,172.26.47.21   ,IA
2227999234557128  ,172.25.80.140  ,AR
676177406060      ,10.57.167.38   ,WY
566815690458      ,192.168.18.224 ,KS
675989814420      ,172.29.223.150 ,OK
30265504645766    ,10.22.235.37   ,VA
30356093114759    ,192.168.187.143,WV
5342304097048708  ,10.0.149.250   ,PA
586556212080      ,192.168.64.124 ,WV
5324072608666779  ,172.20.12.190  ,IA
5329003864167942  ,10.234.100.204 ,RI
676204950296      ,192.168.68.244 ,MI
5387156596508863  ,192.168.239.19 ,MA
676213130880      ,172.16.172.232 ,FL
30264198376382    ,172.22.247.92  ,CA
2227946126471389  ,172.25.105.198 ,OH
675962776992      ,192.168.216.148,DE
60493153146       ,172.26.208.227 ,AR
30239289663971    ,10.193.52.189  ,NJ
5337223308037176  ,192.168.20.248 ,IN
2229114752376012  ,172.18.122.254 ,UT
2223760196708875  ,10.83.143.247  ,CA
30314755689790    ,172.16.19.220  ,MI
30318487459307    ,172.19.217.254 ,MI
563617657314      ,192.168.126.185,IL
570756731743      ,10.9.87.31     ,MD
562187182216      ,172.24.198.170 ,NH
575204107669      ,192.168.233.65 ,OR
639084271084      ,10.196.187.213 ,MS
676278422131      ,192.168.228.114,IN
572855477665      ,172.31.160.233 ,SC
2223345591586694  ,172.17.57.85   ,NY
630472351661      ,192.168.255.166,TX
30383439015144    ,10.223.157.99  ,DC
676369743494      ,192.168.48.227 ,LA
584714183046      ,10.210.113.32  ,AK
30342465974194    ,192.168.39.225 ,WV
675917577396      ,10.161.170.111 ,NC
30210512915736    ,10.176.132.191 ,MT
30379585766779    ,10.44.227.44   ,OH
560677368063      ,10.89.137.185  ,GA
30342181893835    ,192.168.58.209 ,RI
676127551296      ,192.168.158.153,OR
